epoch	0	10	20	30	40	50	avg
0	0	0	0	0	0	0	0
10	0.6467	0.6224	0.403	0.3867	0.315	0.2894	0.443866667
20	0.7222	0.634	0.4256	0.4091	0.319	0.3136	0.470583333
30	0.7415	0.6821	0.459	0.4216	0.324	0.3233	0.491916667
40	0.7995	0.7171	0.4869	0.4572	0.3663	0.3834	0.535066667
50	0.7995	0.7603	0.519	0.4928	0.384	0.4358	0.565233333
60	0.8107	0.7876	0.5466	0.5289	0.39	0.4811	0.590816667
70	0.8107	0.789	0.5466	0.5338	0.426	0.5039	0.601666667
80	0.8122	0.7922	0.5562	0.5507	0.47	0.5086	0.614983333
90	0.817	0.796	0.5562	0.5527	0.488	0.5135	0.620566667
100	0.8171	0.7957	0.5561	0.5525	0.485	0.5068	0.618866667
110	0.8203	0.7956	0.5543	0.5501	0.501	0.508	0.62155
120	0.8203	0.7943	0.5543	0.5407	0.51	0.5028	0.6204
130	0.8203	0.7958	0.5543	0.5477	0.5146	0.5084	0.623516667
140	0.8203	0.7954	0.5543	0.5412	0.5146	0.5083	0.62235
150	0.8203	0.7954	0.5543	0.5412	0.5146	0.5083	0.62235
160	0.8203	0.7954	0.5543	0.5412	0.5146	0.5083	0.62235
170	0.8203	0.7954	0.5543	0.5412	0.5146	0.5083	0.62235
180	0.8203	0.7954	0.5543	0.5412	0.5146	0.5083	0.62235
190	0.8203	0.7954	0.5543	0.5412	0.5146	0.5083	0.62235
200	0.8203	0.7954	0.5543	0.5412	0.5146	0.5083	0.62235
