epoch	0	10	20	30	40	50	avg
0	0	0	0	0	0	0	0
1	0.5384	0.4957	0.3704	0.1994	0.0506	0.0162	0.27845
2	0.5384	0.4957	0.3704	0.3454	0.1907	0.1376	0.346366667
3	0.5467	0.4957	0.3704	0.3454	0.1907	0.1376	0.34775
4	0.5467	0.5012	0.3914	0.3454	0.1907	0.1376	0.352166667
5	0.5467	0.5012	0.3914	0.3454	0.1907	0.1376	0.352166667
6	0.5467	0.5012	0.3914	0.3454	0.1907	0.1376	0.352166667
7	0.5467	0.5012	0.3914	0.3454	0.1907	0.1376	0.352166667
8	0.5467	0.5012	0.3914	0.3454	0.1907	0.1376	0.352166667
9	0.5546	0.5171	0.4307	0.3454	0.1907	0.1376	0.362683333
10	0.5546	0.5171	0.4307	0.3454	0.1907	0.1376	0.362683333
11	0.571	0.5554	0.4875	0.3578	0.1907	0.1376	0.383333333
12	0.571	0.5554	0.4875	0.3578	0.1907	0.1376	0.383333333
13	0.571	0.5554	0.4875	0.3578	0.1907	0.1376	0.383333333
14	0.571	0.5554	0.4875	0.3578	0.1907	0.1376	0.383333333
15	0.5845	0.5554	0.4875	0.3578	0.2102	0.1658	0.393533333
16	0.5845	0.5554	0.4875	0.3578	0.2102	0.1658	0.393533333
17	0.5845	0.5554	0.4875	0.3578	0.2102	0.1658	0.393533333
18	0.5845	0.5554	0.4875	0.3578	0.2102	0.1658	0.393533333
19	0.5845	0.5554	0.4875	0.3578	0.2102	0.1658	0.393533333
20	0.5897	0.5554	0.4875	0.4714	0.2562	0.1658	0.421
21	0.5897	0.5554	0.4928	0.4714	0.2562	0.1658	0.421883333
22	0.5897	0.5554	0.4928	0.4714	0.2562	0.1658	0.421883333
23	0.5897	0.5554	0.4928	0.4714	0.2562	0.1658	0.421883333
24	0.5897	0.5554	0.4928	0.4714	0.2562	0.1658	0.421883333
25	0.5897	0.5554	0.4928	0.4714	0.2562	0.1658	0.421883333
26	0.5897	0.5554	0.4928	0.4714	0.2562	0.1658	0.421883333
27	0.5897	0.5554	0.4928	0.4714	0.2562	0.1658	0.421883333
28	0.5897	0.5554	0.4928	0.4714	0.2562	0.1658	0.421883333
29	0.5897	0.5554	0.4928	0.4714	0.2562	0.1658	0.421883333
30	0.5897	0.5554	0.4928	0.4714	0.2562	0.1658	0.421883333
31	0.5897	0.5554	0.4928	0.4714	0.2562	0.1658	0.421883333
32	0.5897	0.5697	0.5179	0.4714	0.2562	0.1658	0.42845
33	0.5897	0.5697	0.5179	0.4714	0.2562	0.1658	0.42845
34	0.5897	0.5697	0.5179	0.4714	0.2562	0.1658	0.42845
35	0.5941	0.5697	0.5179	0.4714	0.2562	0.1658	0.429183333
36	0.5941	0.5697	0.5179	0.4714	0.2562	0.1658	0.429183333
37	0.5941	0.5697	0.5179	0.4714	0.2562	0.1658	0.429183333
38	0.6011	0.5697	0.5179	0.4714	0.2562	0.1658	0.43035
39	0.6148	0.5713	0.5179	0.4714	0.2562	0.1658	0.4329
40	0.6148	0.5713	0.5179	0.4714	0.2562	0.1658	0.4329
41	0.6148	0.5713	0.554	0.4746	0.2562	0.2345	0.4509
42	0.6148	0.5713	0.554	0.4746	0.2562	0.2345	0.4509
43	0.6148	0.5713	0.554	0.4746	0.2562	0.2345	0.4509
